[epoch 0 iteration 0363]loss 1.494 | overlap 0.137
[epoch 0 iteration 0364]loss 1.561 | overlap 0.109
[epoch 0 iteration 0365]loss 1.489 | overlap 0.200
[epoch 0 iteration 0366]loss 1.497 | overlap 0.144
[epoch 0 iteration 0367]loss 1.476 | overlap 0.156
[epoch 0 iteration 0368]loss 1.560 | overlap 0.131
[epoch 0 iteration 0369]loss 1.463 | overlap 0.216
[epoch 0 iteration 0370]loss 1.439 | overlap 0.228
[epoch 0 iteration 0371]loss 1.501 | overlap 0.159
[epoch 0 iteration 0372]loss 1.484 | overlap 0.175
[epoch 0 iteration 0373]loss 1.479 | overlap 0.197
[epoch 0 iteration 0374]loss 1.520 | overlap 0.147
[epoch 0 iteration 0375]loss 1.519 | overlap 0.150
[epoch 0 iteration 0376]loss 1.514 | overlap 0.200
[epoch 0 iteration 0377]loss 1.456 | overlap 0.194
[epoch 0 iteration 0378]loss 1.509 | overlap 0.175
[epoch 0 iteration 0379]loss 1.498 | overlap 0.166
[epoch 0 iteration 0380]loss 1.542 | overlap 0.172
[epoch 0 iteration 0381]loss 1.600 | overlap 0.075
[epoch 0 iteration 0382]loss 1.534 | overlap 0.134
[epoch 0 iteration 0383]loss 1.499 | overlap 0.175
[epoch 0 iteration 0384]loss 1.485 | overlap 0.184
[epoch 0 iteration 0385]loss 1.495 | overlap 0.169
[epoch 0 iteration 0386]loss 1.477 | overlap 0.166
[epoch 0 iteration 0387]loss 1.464 | overlap 0.178
[epoch 0 iteration 0388]loss 1.471 | overlap 0.187
[epoch 0 iteration 0389]loss 1.536 | overlap 0.163
[epoch 0 iteration 0390]loss 1.501 | overlap 0.153
[epoch 0 iteration 0391]loss 1.503 | overlap 0.150
[epoch 0 iteration 0392]loss 1.534 | overlap 0.119
[epoch 0 iteration 0393]loss 1.452 | overlap 0.203
[epoch 0 iteration 0394]loss 1.546 | overlap 0.163
[epoch 0 iteration 0395]loss 1.566 | overlap 0.131
[epoch 0 iteration 0396]loss 1.434 | overlap 0.241
[epoch 0 iteration 0397]loss 1.529 | overlap 0.166
[epoch 0 iteration 0398]loss 1.515 | overlap 0.181
[epoch 0 iteration 0399]loss 1.521 | overlap 0.169
[epoch 0 iteration 0400]loss 1.460 | overlap 0.172
[epoch 0 iteration 0401]loss 1.485 | overlap 0.172
[epoch 0 iteration 0402]loss 1.514 | overlap 0.156
[epoch 0 iteration 0403]loss 1.452 | overlap 0.209
[epoch 0 iteration 0404]loss 1.574 | overlap 0.131
[epoch 0 iteration 0405]loss 1.569 | overlap 0.147
[epoch 0 iteration 0406]loss 1.459 | overlap 0.197
[epoch 0 iteration 0407]loss 1.470 | overlap 0.184
[epoch 0 iteration 0408]loss 1.530 | overlap 0.184
[epoch 0 iteration 0409]loss 1.457 | overlap 0.156
[epoch 0 iteration 0410]loss 1.466 | overlap 0.187
[epoch 0 iteration 0411]loss 1.466 | overlap 0.212
[epoch 0 iteration 0412]loss 1.431 | overlap 0.225
[epoch 0 iteration 0413]loss 1.557 | overlap 0.119
[epoch 0 iteration 0414]loss 1.496 | overlap 0.181
[epoch 0 iteration 0415]loss 1.491 | overlap 0.156
[epoch 0 iteration 0416]loss 1.448 | overlap 0.216
[epoch 0 iteration 0417]loss 1.512 | overlap 0.150
[epoch 0 iteration 0418]loss 1.444 | overlap 0.172
[epoch 0 iteration 0419]loss 1.472 | overlap 0.200
[epoch 0 iteration 0420]loss 1.541 | overlap 0.131
[epoch 0 iteration 0421]loss 1.450 | overlap 0.228
[epoch 0 iteration 0422]loss 1.494 | overlap 0.144
[epoch 0 iteration 0423]loss 1.575 | overlap 0.109
[epoch 0 iteration 0424]loss 1.474 | overlap 0.163
[epoch 0 iteration 0425]loss 1.426 | overlap 0.256
[epoch 0 iteration 0426]loss 1.496 | overlap 0.166
[epoch 0 iteration 0427]loss 1.555 | overlap 0.119
[epoch 0 iteration 0428]loss 1.564 | overlap 0.116
[epoch 0 iteration 0429]loss 1.487 | overlap 0.163
[epoch 0 iteration 0430]loss 1.485 | overlap 0.178
[epoch 0 iteration 0431]loss 1.509 | overlap 0.166
[epoch 0 iteration 0432]loss 1.498 | overlap 0.163
[epoch 0 iteration 0433]loss 1.489 | overlap 0.163
[epoch 0 iteration 0434]loss 1.500 | overlap 0.147
[epoch 0 iteration 0435]loss 1.522 | overlap 0.156
[epoch 0 iteration 0436]loss 1.469 | overlap 0.216
[epoch 0 iteration 0437]loss 1.527 | overlap 0.150
[epoch 0 iteration 0438]loss 1.556 | overlap 0.122
[epoch 0 iteration 0439]loss 1.492 | overlap 0.181
[epoch 0 iteration 0440]loss 1.440 | overlap 0.231
[epoch 0 iteration 0441]loss 1.452 | overlap 0.194
[epoch 0 iteration 0442]loss 1.457 | overlap 0.216
[epoch 0 iteration 0443]loss 1.486 | overlap 0.197
[epoch 0 iteration 0444]loss 1.490 | overlap 0.166
[epoch 0 iteration 0445]loss 1.504 | overlap 0.175
[epoch 0 iteration 0446]loss 1.497 | overlap 0.206
[epoch 0 iteration 0447]loss 1.478 | overlap 0.166
[epoch 0 iteration 0448]loss 1.464 | overlap 0.209
[epoch 0 iteration 0449]loss 1.501 | overlap 0.181
[epoch 0 iteration 0450]loss 1.477 | overlap 0.200
[epoch 0 iteration 0451]loss 1.538 | overlap 0.156
[epoch 0 iteration 0452]loss 1.500 | overlap 0.172
[epoch 0 iteration 0453]loss 1.580 | overlap 0.112
[epoch 0 iteration 0454]loss 1.474 | overlap 0.206
[epoch 0 iteration 0455]loss 1.484 | overlap 0.159
[epoch 0 iteration 0456]loss 1.467 | overlap 0.181
[epoch 0 iteration 0457]loss 1.457 | overlap 0.197
[epoch 0 iteration 0458]loss 1.492 | overlap 0.206
[epoch 0 iteration 0459]loss 1.483 | overlap 0.153
[epoch 0 iteration 0460]loss 1.487 | overlap 0.194
[epoch 0 iteration 0461]loss 1.495 | overlap 0.156
[epoch 0 iteration 0462]loss 1.541 | overlap 0.109
[epoch 0 iteration 0463]loss 1.571 | overlap 0.097
[epoch 0 iteration 0464]loss 1.536 | overlap 0.141
[epoch 0 iteration 0465]loss 1.554 | overlap 0.116
